locus,log2FoldChange
AT3G23330,0.01667
AT3G23380,-0.82667
AT3G23410,-0.16667
AT3G23460,-0.05000
AT3G23580,0.09333
AT3G23770,0.05000
AT3G23940,-0.01667
AT3G23970,0.07333
AT3G24010,0.03333
AT3G24030,0.11000
AT3G24093,-0.14333
AT3G24150,-0.36000
AT3G24170,-0.01667
AT3G24255,0.46167
AT3G24430,0.01667
AT3G24508,0.15000
AT3G24515,0.18333
AT3G24640,0.07667
AT3G24900,-0.05333
AT3G25020,-0.11333
AT3G25070,-0.05167
AT3G25220,0.53000
AT3G25230,0.31333
AT3G25265,-0.07333
AT3G25550,-0.18167
AT3G26030,-0.08333
AT3G26140,-0.37000
AT3G26190,0.27667
AT3G26270,-0.18000
AT3G26360,-0.18333
AT3G26470,1.14000
AT3G26700,-0.02000
AT3G26740,-0.03667
AT3G26810,0.02333
AT3G26850,-0.31833
AT3G26980,0.34000
AT3G27240,-0.02000
AT3G27328,0.00333
AT3G27331,-0.04667
AT3G27380,-0.12167
AT3G27390,0.24333
AT3G27400,0.26333
AT3G27600,-0.39333
AT3G27620,-0.82000
AT3G28007,0.02167
AT3G28250,-0.14000
AT3G28291,0.12667
AT3G28470,0.35000
AT3G28630,0.08667
AT3G28674,-0.07000
AT3G28680,0.06667
AT3G28700,0.07667
AT3G28760,0.07333
AT3G28820,-0.06667
AT3G28860,0.00000
AT3G28880,0.01667
AT3G28956,-0.10167
AT3G29252,0.06333
AT3G29270,-0.00333
AT3G29380,0.02667
AT3G29760,-0.08000
AT3G29797,-0.08667
AT3G30740,0.04667
AT3G30742,-0.16333
AT3G30747,0.36333
AT3G30847,-0.53667
AT3G31320,-0.29667
AT3G31350,0.01000
AT3G31395,0.45000
AT3G31400,-0.25500
AT3G31720,0.00667
AT3G31910,0.14000
AT3G31915,0.08333
AT3G31993,0.02000
AT3G32035,-0.12667
AT3G32050,0.69667
AT3G32095,-0.10667
AT3G32100,-0.26000
AT3G32150,0.30667
AT3G32250,1.02167
AT3G32280,-0.09000
AT3G42230,0.16333
AT3G42280,0.23000
AT3G42460,0.13667
AT3G42640,-0.15333
AT3G42724,0.10000
AT3G42910,-0.19667
AT3G43020,0.03000
AT3G43433,0.27667
AT3G43500,0.41667
AT3G43625,-0.01667
AT3G43660,-0.03333
AT3G43690,0.12500
AT3G43715,0.14333
AT3G43833,-0.42000
AT3G43920,-0.15000
AT3G44010,-0.06333
AT3G44280,-0.12167
AT3G44310,-0.20667
AT3G44450,-0.02000
AT3G44540,-0.06333
AT3G44640,0.11000
AT3G44880,-0.16000
AT3G45130,-0.02667
AT3G45230,0.04000
AT3G45400,-0.14333
AT3G45500,0.01000
AT3G45555,-0.19333
AT3G45580,-0.32333
AT3G45640,-0.01333
AT3G45850,-1.14333
AT3G46220,-0.16000
AT3G46280,-0.12333
AT3G46540,0.01833
AT3G46560,0.15167
AT3G46590,-0.08333
AT3G46730,0.02667
AT3G46800,0.46667
AT3G46880,-0.02667
AT3G46940,0.54333
AT3G47080,0.01667
AT3G47210,0.29667
AT3G47250,-0.01000
AT3G47470,-0.04167
AT3G47490,0.13167
AT3G47520,-0.15000
AT3G47710,-0.06333
AT3G47740,0.06167
AT3G47750,0.07667
AT3G47800,-0.17000
AT3G47930,-0.06333
AT3G48160,-0.34333
AT3G48209,-0.27667
AT3G48235,-0.41000
AT3G48280,0.22000
AT3G48750,0.06000
AT3G48930,0.27500
AT3G49115,0.06667
AT3G49260,-0.05667
AT3G49420,0.01333
AT3G49570,0.10333
AT3G49590,-0.01500
AT3G49645,-0.06000
AT3G49760,-0.08333
AT3G49810,-0.03333
AT3G49900,-0.20667
AT3G50030,-0.09333
AT3G50040,-0.13333
AT3G50070,0.03000
AT3G50160,0.07000
AT3G50200,0.42167
AT3G50380,-0.01000
AT3G50420,0.17000
AT3G50520,0.03333
AT3G50540,0.06167
AT3G50720,-0.05667
AT3G50750,0.11667
AT3G50820,-0.05167
AT3G50930,-0.12667
AT3G50960,0.08333
AT3G51050,-0.19333
AT3G51070,-0.49333
AT3G51190,-0.12333
AT3G51320,0.15333
AT3G51360,0.36833
AT3G51800,-0.17333
AT3G51930,0.36333
AT3G52060,-0.31333
AT3G52190,-0.57333
AT3G52320,0.01000
AT3G52340,-0.07833
AT3G52420,0.04000
AT3G52450,0.08167
AT3G52560,0.19333
AT3G52640,-0.49000
AT3G52880,0.08667
AT3G53040,0.10000
AT3G53200,0.01667
AT3G53390,0.06667
AT3G53420,0.03333
AT3G53580,-0.41333
AT3G53650,-0.07000
AT3G53710,-0.06333
AT3G53790,-0.06333
AT3G54010,-0.11667
AT3G54060,0.00333
AT3G54070,-0.36000
AT3G54150,-0.06667
AT3G54270,0.00500
AT3G54300,0.02000
AT3G54310,-0.09000
AT3G55180,0.39333
AT3G55254,-0.01833
AT3G55530,-0.34667
AT3G55720,-0.82333
AT3G55750,-0.03333
AT3G55760,0.92667
AT3G55850,0.29667
AT3G55930,0.04833
AT3G56030,-0.05000
AT3G56060,0.19333
AT3G56150,-0.66667
AT3G56270,-0.19000
AT3G56390,-0.01667
AT3G56640,0.17333
AT3G56730,-0.02000
AT3G56740,0.23333
AT3G56825,-0.07333
AT3G56910,-0.06000
AT3G56970,0.02000
AT3G56980,0.09000
AT3G57220,-0.10667
AT3G57310,-0.10667
AT3G57350,0.18333
AT3G57645,0.33333
AT3G57650,-0.07333
AT3G58070,-0.68333
AT3G58100,-0.51000
AT3G58220,0.23000
AT3G58340,-0.03000
AT3G58370,-0.08667
AT3G58430,0.17333
AT3G58460,0.27000
AT3G58710,-0.03333
AT3G58920,0.23667
AT3G59140,-0.19333
AT3G59170,-0.12000
AT3G59330,0.00833
AT3G59520,-0.04333
AT3G59690,0.09333
AT3G59750,0.09667
AT3G59890,-0.05333
AT3G59970,0.24000
AT3G60250,-0.16500
AT3G60550,-0.48333
AT3G60590,-0.28167
AT3G61172,0.29000
AT3G61400,-0.23333
AT3G61415,-0.17000
AT3G61880,-0.18000
AT3G62260,-0.02000
AT3G62336,0.14333
AT3G62730,0.09667
AT3G62980,-0.36667
AT3G63070,-0.09333
AT3G63090,0.07667
AT3G63300,-0.15167
AT3G63310,0.41833
AT3G63400,-0.40667
AT3G63470,0.23833
AT4G00020,-0.14333
AT4G00140,0.02667
AT4G00180,0.19000
AT4G00231,0.15000
AT4G00350,0.16500
AT4G00355,-0.07167
AT4G00356,-0.23667
AT4G00380,-0.23333
AT4G00430,-0.03000
AT4G00590,-0.04500
AT4G00630,0.02000
AT4G00760,-0.70333
AT4G00780,-0.13667
AT4G01037,-0.04333
AT4G01180,-0.28333
AT4G01410,-0.31333
AT4G01500,-0.11333
AT4G01520,0.17333
AT4G01790,-0.21333
AT4G01870,-0.11000
AT4G01950,-0.02667
AT4G02100,0.14333
AT4G02160,0.31667
AT4G02360,-0.31000
AT4G02570,0.07333
AT4G02580,-0.18333
AT4G02710,0.07500
AT4G02920,0.09833
AT4G03010,-0.10000
AT4G03175,0.00333
AT4G03180,-0.05333
AT4G03240,-0.05333
AT4G03280,-0.02333
AT4G03440,0.02000
AT4G03590,0.51667
AT4G03824,-0.35333
AT4G04500,-0.01667
AT4G04610,-0.05667
AT4G04640,-0.12333
AT4G04810,0.00333
AT4G04830,0.10833
AT4G05020,-0.18500
AT4G05050,0.01000
AT4G05090,-0.01333
AT4G05160,0.07000
AT4G05190,-0.02667
AT4G05270,-0.14333
AT4G05497,0.27667
AT4G06474,0.00667
AT4G06580,0.07333
AT4G06598,-0.04333
AT4G06701,0.09667
AT4G07320,0.17667
AT4G07425,0.26333
AT4G08034,0.34000
AT4G08053,-0.21167
AT4G08360,-0.07000
AT4G08395,-0.06333
AT4G08620,0.22333
AT4G08920,0.25500
AT4G09180,-0.04000
AT4G09270,0.40000
AT4G09464,-0.14333
AT4G09480,0.00667
AT4G09580,0.22333
AT4G09630,-0.09333
AT4G10010,-0.05667
AT4G10040,-0.06667
AT4G10060,-0.29667
AT4G10490,-0.00000
AT4G10520,-0.16667
AT4G10820,0.01333
AT4G10860,-0.23000
AT4G10890,-0.45333
AT4G10920,-0.14333
AT4G10970,0.07333
AT4G11030,-0.07500
AT4G11110,-0.03333
AT4G11240,-0.07000
AT4G11690,-0.07000
AT4G11700,-0.21000
AT4G11780,0.07333
AT4G11950,0.16667
AT4G12060,-0.63833
AT4G12180,0.12000
AT4G12750,0.05000
AT4G12760,0.08667
AT4G12780,-0.04000
AT4G13240,0.04333
AT4G13480,0.10000
AT4G14140,0.11333
AT4G14220,-0.06333
AT4G14230,-0.09667
AT4G14385,0.07000
AT4G14430,-0.17667
AT4G14470,-0.14667
AT4G14548,0.32000
AT4G14550,-0.16500
AT4G14660,-0.81667
AT4G14880,-0.00000
AT4G15233,0.42333
AT4G15393,-0.04333
AT4G15415,0.16667
AT4G15460,0.12000
AT4G15700,0.11000
AT4G15750,-0.13000
AT4G15830,0.05333
AT4G15885,-0.10000
AT4G16045,0.04667
AT4G16143,-0.02667
AT4G16330,-0.13333
AT4G16430,0.00500
AT4G16440,-0.07000
AT4G16892,0.14667
AT4G17050,-0.28000
AT4G17220,-0.06833
AT4G17570,0.56667
AT4G17670,-0.01333
AT4G17780,-0.18500
AT4G17800,0.06000
AT4G17910,-0.11500
AT4G18030,-0.27167
AT4G18280,-0.04000
AT4G18350,0.00333
AT4G18390,0.02833
AT4G18440,0.01333
AT4G18580,-0.10667
AT4G18770,0.20333
AT4G19030,0.02667
AT4G19040,-0.48000
AT4G19190,0.46333
AT4G19200,-0.00667
AT4G19350,0.07333
AT4G19410,-0.15000
AT4G19510,-0.01667
AT4G19515,-0.27167
AT4G19690,0.05667
AT4G19700,0.24667
AT4G19760,0.05333
AT4G19910,0.01667
AT4G20050,0.01833
AT4G20100,0.09000
AT4G20390,-0.06333
AT4G20710,-0.04667
AT4G21050,0.00000
AT4G21080,-0.21000
AT4G21130,-0.13333
AT4G21170,-0.23333
AT4G21192,-0.28833
AT4G21430,-0.06000
AT4G21540,0.00667
AT4G21550,-0.11333
AT4G21730,0.01333
AT4G21740,-0.03333
AT4G21760,-0.05333
AT4G21903,0.06000
AT4G21990,0.05333
AT4G22090,-0.04000
AT4G22220,0.15333
AT4G22460,-0.37000
AT4G22540,-0.00667
AT4G22580,0.19667
AT4G22730,0.04333
AT4G22890,0.09167
AT4G22980,-0.00000
AT4G22990,-0.12833
AT4G23050,-0.13000
AT4G23150,-0.15000
AT4G23220,0.08833
AT4G23300,-0.02000
AT4G23470,0.01333
AT4G23550,0.44667
AT4G23580,-0.16000
AT4G23690,-0.16000
AT4G23960,-0.21000
AT4G24230,-0.15500
AT4G24240,-0.05000
AT4G24265,-0.15333
AT4G24530,-0.00333
AT4G24550,-0.03333
AT4G24620,-0.38000
AT4G24880,0.11333
AT4G25100,0.25667
AT4G25225,-0.01667
AT4G25420,-0.22333
AT4G25580,-0.16000
AT4G25672,-0.00833
AT4G25700,-0.14667
AT4G25710,-0.20333
AT4G25850,-0.04667
AT4G26110,0.11167
AT4G26120,-0.16000
AT4G26150,0.01000
AT4G26250,-0.10000
AT4G26255,-0.26333
AT4G26270,0.17333
AT4G26288,-0.14333
AT4G26330,0.12667
AT4G26490,0.06333
AT4G26500,-0.08000
AT4G26600,0.03333
AT4G26820,0.04333
AT4G26970,0.47500
AT4G27050,-0.05333
AT4G27130,0.29667
AT4G27150,-0.07667
AT4G27510,-0.07667
AT4G27597,-0.01000
AT4G27840,0.00667
AT4G27990,0.06667
AT4G28180,-0.05333
AT4G28210,-0.05333
AT4G28220,-0.02667
AT4G28260,-0.21000
AT4G28270,-0.02667
AT4G28340,0.14667
AT4G28360,-0.02667
AT4G28365,0.11333
AT4G28405,0.26667
AT4G28570,0.63667
AT4G28706,-0.01333
AT4G28730,0.69000
AT4G28830,0.63667
AT4G29033,0.03667
AT4G29060,-0.15833
AT4G29110,-0.02333
AT4G29530,-0.07667
AT4G29540,-0.01000
AT4G29590,-0.06333
AT4G29658,0.01333
AT4G30072,-0.35667
AT4G30230,0.19667
AT4G30260,-0.26000
AT4G30270,-0.01667
AT4G30350,-0.03167
AT4G30410,0.17500
AT4G30670,-0.07333
AT4G30850,0.07333
AT4G30880,0.22000
AT4G31115,-0.42333
AT4G31196,-0.15000
AT4G31210,-1.30667
AT4G31260,0.26333
AT4G31290,-0.07667
AT4G31310,0.05333
AT4G31355,-0.44667
AT4G31840,-0.01333
AT4G32000,-0.21667
AT4G32105,0.28667
AT4G32140,0.07000
AT4G32150,-0.05333
AT4G32285,-0.04333
AT4G32370,-0.15333
AT4G32450,-0.18000
AT4G32510,-0.55000
AT4G32600,0.00333
AT4G32820,-0.01333
AT4G32890,0.22000
AT4G32970,0.20667
AT4G33120,0.03333
AT4G33440,-0.12000
AT4G33520,0.05000
AT4G33920,-0.02333
AT4G34060,-0.40667
AT4G34400,0.16333
AT4G34490,0.24667
AT4G34530,0.36333
AT4G34600,-0.16333
AT4G34610,0.01500
AT4G34710,0.17167
AT4G34880,0.03667
AT4G34890,0.30000
AT4G34950,0.20000
AT4G35090,-0.09333
AT4G35260,-0.21333
AT4G35560,0.13333
AT4G35700,-0.43000
AT4G35710,-0.42667
AT4G35725,-0.16667
AT4G35800,-0.00500
AT4G35830,-0.08667
AT4G35930,-0.00500
AT4G35990,-0.11000
AT4G36170,-0.33333
AT4G36550,0.13000
AT4G36740,0.19000
AT4G36988,0.03500
AT4G37030,0.07333
AT4G37060,-0.12667
AT4G37620,-0.19000
AT4G37710,0.07833
AT4G38100,0.06000
AT4G38200,-0.34667
AT4G38250,0.06667
AT4G38940,-0.24333
AT4G39235,0.16667
AT4G39380,-0.01167
AT4G39600,-0.24333
AT4G39660,0.04500
AT4G39680,-0.10500
AT4G39820,0.07333
AT4G39930,0.26333
AT4G40030,-0.15667
AT4G40045,-0.04833
AT4G40100,0.07000
AT5G01070,-0.17667
AT5G01110,-0.15000
AT5G01170,-0.34000
AT5G01390,0.00833
AT5G01600,-0.12667
AT5G02000,-0.12333
AT5G02130,-0.08000
AT5G02240,-0.19167
AT5G02340,-0.10667
AT5G02650,-0.11667
AT5G02810,-0.17833
AT5G02811,0.29333
AT5G02980,0.03667
AT5G03260,0.19667
AT5G03390,0.19667
AT5G03495,-0.04333
AT5G03860,-0.02333
AT5G03944,0.06667
AT5G03970,-0.18833
AT5G03990,0.11667
AT5G04070,-0.12000
AT5G04080,-0.26000
AT5G04130,0.02333
AT5G04150,0.56333
AT5G04190,-0.11333
AT5G04200,-0.40333
AT5G04330,0.22000
AT5G04590,-0.15000
AT5G04920,0.44667
AT5G04980,-0.29167
AT5G05020,0.21000
AT5G05130,-0.26000
AT5G05250,-0.62000
AT5G05500,0.07000
AT5G05670,-0.22500
AT5G05980,-0.13333
AT5G06090,-0.02667
AT5G06160,-0.04000
AT5G06410,-0.03333
AT5G06550,-0.03000
AT5G06740,-0.02333
AT5G06760,-0.35667
AT5G06900,-0.11000
AT5G07400,0.58000
AT5G07460,-0.18333
AT5G07860,-0.04000
AT5G08050,-0.07667
AT5G08350,0.16667
AT5G08380,-0.30667
AT5G08460,0.87667
AT5G08530,0.32000
AT5G08690,-0.12167
AT5G09500,-0.05333
AT5G09600,-0.15000
AT5G09690,0.05000
AT5G09700,-0.01333
AT5G09750,0.05000
AT5G09770,-0.02000
AT5G09795,-0.17000
AT5G10140,0.21333
AT5G10180,-0.31667
AT5G10220,0.05667
AT5G10310,-0.08000
AT5G10360,0.02500
AT5G10470,-0.04000
AT5G10500,-0.08667
AT5G10560,-0.02667
AT5G10790,-0.17667
AT5G11412,0.20000
AT5G11520,0.06667
AT5G11570,-0.16333
AT5G11710,-0.15000
AT5G11750,0.13667
AT5G11770,0.03167
AT5G11930,0.22333
AT5G12840,-0.00667
AT5G13250,-0.02833
AT5G13430,0.11000
AT5G13440,-0.01333
AT5G13520,-0.80000
AT5G13630,0.11000
AT5G13750,-0.22000
AT5G13890,-0.06000
AT5G13940,-0.02667
AT5G13960,0.04667
AT5G14070,-0.10000
AT5G14380,-0.06667
AT5G14720,-0.01000
AT5G14770,-0.01667
AT5G14880,0.21000
AT5G14940,-0.17667
AT5G14960,-0.22000
AT5G15050,-0.05333
AT5G15110,0.02000
AT5G15420,0.22000
AT5G15680,0.49667
AT5G15920,-1.63333
AT5G16160,0.24333
AT5G16300,-0.14667
AT5G16340,-0.19333
AT5G16810,0.17333
AT5G16860,0.06333
AT5G17160,0.36667
AT5G17200,0.59333
AT5G17240,0.52000
AT5G17360,0.13000
AT5G17470,-0.05000
AT5G17480,-0.09000
AT5G17600,0.26333
AT5G17620,0.24667
AT5G17720,0.02333
AT5G18570,0.17667
AT5G18690,-0.06000
AT5G18710,0.03833
AT5G18900,-0.66000
AT5G18940,-0.13333
AT5G19040,0.00667
AT5G19080,-0.02333
AT5G19160,0.09000
AT5G19221,-0.05333
AT5G19250,-0.01833
AT5G19460,0.17833
AT5G19470,0.72333
AT5G19480,0.37333
AT5G19485,-0.20667
AT5G19620,0.14833
AT5G19800,0.11667
AT5G20050,-0.33333
AT5G20520,0.11333
AT5G20580,-0.10667
AT5G20650,0.09000
AT5G20730,0.13000
AT5G20750,-0.13000
AT5G21222,-0.18333
AT5G21482,-0.21000
AT5G22030,-0.02167
AT5G22044,0.07333
AT5G22140,-0.11000
AT5G22200,0.04667
AT5G22250,-0.25667
AT5G22330,0.00667
AT5G22460,-0.03333
AT5G22520,0.14833
AT5G22560,0.68000
AT5G22710,1.07000
AT5G22791,0.05333
AT5G23140,0.03667
AT5G23180,0.09667
AT5G23190,-0.26667
AT5G23320,-0.22333
AT5G23420,0.05333
AT5G23490,-0.07167
AT5G23920,-0.42000
AT5G23940,0.30333
AT5G24105,0.33000
AT5G24155,0.36667
AT5G24160,0.26000
AT5G24318,0.23667
AT5G24470,0.17667
AT5G24960,-0.05333
AT5G25000,-0.00333
AT5G25120,-0.06667
AT5G25205,-0.04333
AT5G25400,-0.10333
AT5G25480,-0.12333
AT5G25770,0.22000
AT5G25830,0.02000
AT5G25980,0.50000
AT5G26120,-0.27000
AT5G26190,0.00333
AT5G26210,-0.11333
AT5G26330,0.02833
AT5G26660,-0.08667
AT5G26950,0.04000
AT5G27550,0.24000
AT5G27590,-0.05333
AT5G27620,0.03333
AT5G27770,0.06333
AT5G27845,-0.12333
AT5G27860,-0.07667
AT5G27890,-0.31000
AT5G28143,-0.06000
AT5G28320,-0.06333
AT5G28410,0.00667
AT5G28464,-0.06667
AT5G28646,0.05833
AT5G28650,0.22667
AT5G28750,0.08833
AT5G32590,-0.09000
AT5G32623,-0.06500
AT5G33260,-0.13667
AT5G33320,0.18000
AT5G33355,0.20333
AT5G34266,0.05667
AT5G34885,0.01500
AT5G35220,0.22667
AT5G35320,-0.02667
AT5G35336,-0.16333
AT5G35354,0.22667
AT5G35450,0.49333
AT5G35470,0.22000
AT5G35550,-0.10667
AT5G35610,-0.52333
AT5G35640,-0.28000
AT5G35715,0.03000
AT5G35914,0.06333
AT5G35920,0.33667
AT5G35926,-0.15333
AT5G36140,1.19000
AT5G36170,0.08667
AT5G36210,-0.27000
AT5G36960,0.25667
AT5G37000,0.20667
AT5G37020,0.16333
AT5G37240,0.00000
AT5G37280,0.00000
AT5G37474,0.42667
AT5G37480,0.20833
AT5G37500,0.05000
AT5G37510,-0.22333
AT5G37580,0.02333
AT5G37590,0.13000
AT5G37770,0.30000
AT5G37860,0.02000
AT5G38070,-0.08000
AT5G38780,0.48667
AT5G38790,0.25667
AT5G38800,0.17667
AT5G39010,-0.49333
AT5G39020,-0.17667
AT5G39240,0.17667
AT5G39340,0.23667
AT5G39390,-0.05000
AT5G39450,0.23333
AT5G39900,-0.01667
AT5G39910,0.01667
AT5G40550,0.04333
AT5G40650,-0.09167
AT5G40720,-0.45667
AT5G40820,-0.16333
AT5G40990,0.12000
AT5G41320,-0.05000
AT5G41380,0.28000
AT5G41550,-0.11333
AT5G41610,0.40000
AT5G41630,0.12667
AT5G41960,-0.06667
AT5G42010,0.01333
AT5G42070,1.07000
AT5G42090,0.08000
AT5G42420,0.05667
AT5G42600,-0.12000
AT5G42640,0.48667
AT5G42800,0.02000
AT5G42820,-0.09667
AT5G42895,-0.03333
AT5G43070,0.79000
AT5G43175,-0.05500
AT5G43250,-0.17000
AT5G43340,-0.05333
AT5G43440,0.00333
AT5G43450,0.01667
AT5G43490,-0.30333
AT5G43710,0.30333
AT5G43830,-0.00333
AT5G43950,-0.05000
AT5G43960,-0.00000
AT5G44220,0.28333
AT5G44510,-0.07167
AT5G44550,0.02500
AT5G44650,-0.03667
AT5G44700,0.12333
AT5G45080,0.01667
AT5G45200,0.06667
AT5G45360,-0.16333
AT5G45380,-0.01000
AT5G45450,0.19333
AT5G45490,-0.33333
AT5G45570,-0.48333
AT5G45770,0.00833
AT5G45900,-0.11000
AT5G46180,-0.11667
AT5G46295,0.19333
AT5G46310,-0.16000
AT5G46360,0.08000
AT5G46380,0.00333
AT5G46580,0.28000
AT5G46590,0.06333
AT5G46730,0.03833
AT5G46960,0.22333
AT5G47350,-0.16000
AT5G47480,-0.07667
AT5G47510,0.12000
AT5G47530,-0.14000
AT5G47570,-0.25000
AT5G47630,0.83000
AT5G47780,0.38333
AT5G47800,0.11000
AT5G47815,0.02667
AT5G47830,0.14667
AT5G47900,0.01167
AT5G47940,-0.46333
AT5G48110,0.21167
AT5G48120,-0.07333
AT5G48230,0.05000
AT5G48335,-0.03000
AT5G48420,-0.22667
AT5G48450,-0.04333
AT5G48630,-0.34667
AT5G49138,0.24667
AT5G49210,-0.00500
AT5G49380,-0.10000
AT5G49448,-0.00000
AT5G49560,0.00333
AT5G49615,0.09667
AT5G49690,0.05000
AT5G49730,0.14667
AT5G49830,0.07333
AT5G49920,0.06667
AT5G50140,-0.05000
AT5G50310,-0.51333
AT5G50380,-0.12000
AT5G50480,0.09667
AT5G50960,-0.48667
AT5G51070,0.12667
AT5G51451,-0.40667
AT5G51500,0.02667
AT5G51680,-0.20000
AT5G52030,-0.96000
AT5G52150,0.30333
AT5G52160,0.04667
AT5G52170,-0.08333
AT5G52260,0.13667
AT5G52360,-0.10667
AT5G52530,0.68000
AT5G52730,-0.03667
AT5G52880,-0.23333
AT5G52960,-0.15500
AT5G53210,0.14333
AT5G53500,0.01000
AT5G53510,-0.27333
AT5G53590,-0.21667
AT5G53690,-0.07333
AT5G53770,0.23667
AT5G53775,0.22333
AT5G53840,-0.12333
AT5G53900,0.14000
AT5G53920,-1.34000
AT5G54020,-0.00333
AT5G54095,0.07333
AT5G54165,-0.71000
AT5G54215,-0.07667
AT5G54450,-0.10000
AT5G55050,0.04667
AT5G55240,-0.01333
AT5G55300,-0.01667
AT5G55340,-0.28333
AT5G55370,-0.05333
AT5G55560,-0.03000
AT5G55620,0.39667
AT5G55670,-0.24167
AT5G55830,0.20333
AT5G56310,0.09333
AT5G56325,-0.48333
AT5G56370,0.10000
AT5G56400,-0.71667
AT5G56570,0.04000
AT5G57090,-0.00333
AT5G57280,-0.06667
AT5G57520,-0.18667
AT5G57710,0.09667
AT5G58003,-0.07000
AT5G58270,-0.01333
AT5G58380,0.12667
AT5G58610,0.07000
AT5G58730,-0.37667
AT5G58740,0.01333
AT5G58860,-0.36000
AT5G59010,0.03000
AT5G59250,0.03667
AT5G59305,-1.10333
AT5G59540,-0.04333
AT5G60142,0.59000
AT5G60615,0.26000
AT5G60640,-0.03333
AT5G60790,0.02833
AT5G60978,-0.13000
AT5G61050,-0.12667
AT5G61380,-0.38667
AT5G61640,0.13667
AT5G62720,0.04000
AT5G62890,-0.07333
AT5G62990,0.06333
AT5G63063,-0.03333
AT5G63080,0.02000
AT5G63170,-0.01000
AT5G63260,0.11333
AT5G63300,-0.11333
AT5G63420,-0.44000
AT5G63760,0.03167
AT5G63780,0.20333
AT5G63800,0.08000
AT5G64100,0.05167
AT5G64210,-0.05333
AT5G64250,0.02333
AT5G64310,-0.19333
AT5G64470,-0.15833
AT5G64570,-0.11000
AT5G64640,0.02333
AT5G64710,0.01333
AT5G64760,-0.00667
AT5G64820,-0.28667
AT5G64870,-0.34667
AT5G64970,-0.27667
AT5G65350,0.23667
AT5G65620,0.31333
AT5G65720,0.22333
AT5G65860,0.10333
AT5G65920,0.03667
AT5G65950,0.85667
AT5G66190,-0.04000
AT5G66500,-0.15667
AT5G66631,-0.15333
AT5G66660,-0.26000
AT5G66750,0.13333
AT5G66760,0.21667
AT5G66870,-0.01667
AT5G66920,0.18667
AT5G66950,-0.01333
AT5G66985,-0.30333
AT5G67010,-0.12333
AT5G67040,0.22333
AT5G67070,-0.03000
AT5G67170,-0.21333
AT5G67180,-0.04667
AT5G67200,-0.10333
AT5G67330,-0.05000
AT5G67385,-0.11333
AT5G67410,-0.13667
AT5G67480,-0.12000
AT5G67640,-0.02667
ATCG00020,0.06167
ATCG00540,0.03000
ATCG00720,0.64000
ATCG00770,0.67000
ATCG00830,-0.01000
ATCG00920,0.07333
ATCG01060,0.53667
ATMG00400,-0.20500
ATMG00516,0.93333
ATMG00610,0.12333
ATMG00620,-0.09667
ATMG01400,0.09000
